Date_ymd,Time_Absolute_hms,Time_Relative_hms,Time_Relative_s,Time_Lag_s,Duration_s,Observation_Name,Log_File_Name,Actor,Behavior,Receiver,Event_Type,Observer_ID,Coding_Scheme,Group
17/02/2025,07:37:41,00:00:00,0,4.443,90.856,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Stationary alone""",ID_3368,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:39:12,00:01:30,90.856,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Stationary alone""",ID_3368,State stop,1590,Female Rhesus Macaques,V
17/02/2025,07:39:12,00:01:30,90.856,0.631,39.868,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Locomotion""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:39:52,00:02:10,130.724,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Locomotion""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,07:39:52,00:02:10,130.724,0.532,38.958,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:40:31,00:02:49,169.681,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Resting""",NA,State stop,1590,Female Rhesus Macaques,V
17/02/2025,07:40:31,00:02:49,169.681,0.566,5.791,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Supplants (receive)""",ID_3368,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:40:37,00:02:55,175.472,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Supplants (receive)""",ID_3368,State stop,1590,Female Rhesus Macaques,V
17/02/2025,07:40:37,00:02:55,175.472,0.449,10.733,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Locomotion""",NA,State start,1590,Female Rhesus Macaques,V
17/02/2025,07:40:48,00:03:06,186.205,0,0,"""FocalAnimal_7K8""","""Focal Animal_7K8 - Female Rhesus Macaques - 20250217_073741.csv""",ID_3368,"""Locomotion""",NA,State stop,1590,Female Rhesus Macaques,V
