AnimalID,Sex,BirthSeason,offspring_count
ID_4139,F,1990,11
ID_2733,F,1990,10
ID_7826,F,1990,13
ID_2852,F,1990,8
ID_5923,F,1990,9
ID_7399,F,1990,12
ID_3100,F,1991,8
ID_4358,F,1991,11
ID_4155,F,1991,14
ID_9617,F,1991,13
ID_3280,F,1992,10
ID_3820,F,1992,7
ID_8443,F,1992,14
ID_1588,F,1992,14
ID_8161,F,1992,10
ID_4782,F,1993,10
ID_2184,F,1993,13
ID_9125,F,1993,3
ID_5075,F,1993,7
ID_5742,F,1993,9
ID_2773,F,1993,7
ID_3040,F,1993,16
ID_6892,F,1993,12
ID_6224,F,1993,13
ID_4408,F,1993,9
ID_6049,F,1993,15
ID_9066,F,1994,12
ID_9658,F,1995,6
ID_5624,F,1995,9
ID_3138,M,1995,55
ID_8230,F,1995,12
ID_4035,F,1995,14
ID_3707,F,1995,7
ID_7530,F,1995,12
ID_7967,F,1996,13
ID_2142,F,1996,9
ID_6484,F,1996,12
ID_5193,F,1996,5
ID_9185,F,1996,17
ID_2017,F,1996,6
ID_9537,F,1996,5
ID_7568,F,1996,8
ID_7457,M,1996,18
ID_5132,M,1996,12
ID_5253,F,1997,10
ID_5615,F,1997,5
ID_4030,F,1997,5
ID_5098,F,1997,9
ID_3445,F,1997,6
ID_4336,F,1997,11
ID_1272,F,1997,6
ID_9329,F,1997,9
ID_8754,F,1997,2
ID_4529,F,1997,5
ID_9083,F,1997,2
ID_5026,F,1997,10
ID_8815,F,1998,13
ID_3842,M,1998,13
ID_4957,F,1998,13
ID_9798,F,1998,13
ID_8521,F,1998,13
ID_3952,F,1998,10
ID_6841,F,1998,7
ID_3551,F,1998,13
ID_9977,M,1998,10
ID_6682,F,1998,9
ID_2235,F,1998,12
ID_6388,M,1998,15
ID_7697,F,1998,12
ID_5622,F,1998,10
ID_9230,F,1998,7
ID_1196,F,1999,11
ID_1721,F,1999,7
ID_2072,F,1999,6
ID_6321,F,1999,10
ID_8525,F,1999,5
ID_7673,F,1999,13
ID_5847,F,1999,10
ID_6955,F,1999,15
ID_2615,F,1999,5
ID_6805,F,1999,4
ID_4730,F,1999,12
ID_4180,M,2000,28
ID_7527,M,2000,9
ID_6544,F,2000,4
ID_2592,F,2000,11
ID_4173,F,2000,6
ID_5539,F,2000,9
ID_7980,F,2000,6
ID_8103,M,2000,0
ID_5173,F,2000,6
ID_1330,F,2000,5
ID_1323,M,2000,12
ID_4613,F,2000,6
ID_5915,F,2000,5
ID_4195,F,2000,9
ID_1745,M,2000,18
ID_9295,M,2000,30
ID_3316,F,2000,3
ID_4179,M,2000,10
ID_2580,F,2000,13
ID_3830,M,2001,12
ID_6180,F,2001,14
ID_2389,F,2001,9
ID_1600,F,2001,11
ID_5243,F,2001,14
ID_6079,F,2001,15
ID_1516,F,2001,15
ID_9224,F,2001,12
ID_3217,F,2001,4
ID_9755,M,2002,10
ID_7460,M,2002,7
ID_5621,F,2002,9
ID_7274,F,2002,14
ID_1048,F,2002,8
ID_8988,M,2002,5
ID_6354,M,2002,37
ID_6368,F,2002,13
ID_8111,F,2002,3
ID_9596,M,2003,5
ID_2416,M,2003,26
ID_4733,F,2003,6
ID_2808,M,2003,3
ID_6260,M,2003,7
ID_3021,F,2003,4
ID_2150,F,2003,10
ID_2332,F,2003,2
ID_5784,M,2003,51
ID_8084,F,2003,3
ID_5387,F,2003,8
ID_3989,M,2004,15
ID_9806,F,2004,3
ID_5220,M,2004,11
ID_7085,F,2004,8
ID_6431,F,2004,8
ID_2534,F,2004,9
