ID,DSB_Score,SSB_Score,Scan_Count,adjusted_DSB,adjusted_SSB,OffspringCount,BirthSeason,DS,normDS
ID_5744,0,1,0,0,0,1,2010,NA,NA
ID_9249,0,0,0,0,0,0,2017,NA,NA
ID_1909,0,2,0,0,0,18,2006,NA,NA
ID_2764,0,1,0,0,0,0,2023,NA,NA
ID_7043,2,0,0,0,0,0,2022,NA,NA
ID_5606,1,1,0,0,0,3,2017,NA,NA
ID_1529,0,2,0,0,0,9,2010,NA,NA
ID_2777,0,0,0,0,0,0,2019,NA,NA
ID_7966,0,0,0,0,0,0,2023,NA,NA
ID_9186,0,1,0,0,0,1,2015,NA,NA
ID_5641,0,15,0,0,0,0,2018,NA,NA
ID_6537,0,0,0,0,0,0,2023,NA,NA
ID_5040,0,0,0,0,0,0,2020,NA,NA
ID_2990,0,0,0,0,0,2,2015,NA,NA
ID_3903,0,0,0,0,0,0,2022,NA,NA
ID_5918,0,12,0,0,0,0,2016,NA,NA
ID_2719,0,1,0,0,0,0,2017,NA,NA
ID_3418,0,0,0,0,0,0,2023,NA,NA
ID_4022,0,0,0,0,0,1,2012,NA,NA
ID_1958,0,0,0,0,0,1,2013,NA,NA
ID_9989,0,0,0,0,0,1,2014,NA,NA
ID_1756,0,0,0,0,0,0,2021,NA,NA
ID_9842,0,1,0,0,0,0,2016,NA,NA
ID_5390,0,4,0,0,0,0,2018,NA,NA
ID_3065,0,0,0,0,0,0,2021,NA,NA
ID_7049,0,0,0,0,0,0,2023,NA,NA
ID_9371,0,1,0,0,0,1,2016,NA,NA
ID_3721,0,1,0,0,0,0,2017,NA,NA
ID_6785,0,1,0,0,0,0,2017,NA,NA
ID_2842,0,0,0,0,0,0,2021,NA,NA
ID_1034,0,0,0,0,0,0,2023,NA,NA
ID_9254,0,2,0,0,0,0,2018,NA,NA
ID_4434,0,0,0,0,0,0,2016,NA,NA
ID_5592,0,1,0,0,0,0,2017,NA,NA
ID_6184,0,0,0,0,0,0,2021,NA,NA
ID_2064,0,1,0,0,0,0,2023,NA,NA
ID_5116,0,0,0,0,0,0,2022,NA,NA
ID_4899,0,2,0,0,0,0,2018,NA,NA
ID_4162,0,1,0,0,0,2,2012,NA,NA
ID_5112,0,0,0,0,0,0,2020,NA,NA
ID_3731,0,4,0,0,0,0,2018,NA,NA
ID_2918,0,6,0,0,0,0,2017,NA,NA
ID_2456,0,1,0,0,0,8,2010,NA,NA
ID_3235,0,0,0,0,0,0,2020,NA,NA
ID_9262,0,0,0,0,0,0,2020,NA,NA
