"MotherID","MotherID_unique","BirthSeason","Total_Offspring_Count","TotalSons","SonID","DSB_Score","SSB_Score","TotalMounts","Scan_Count","adjusted_DSB","adjusted_SSB","adjusted_TM"
"ID_1001","ID_1001a",2004,3,2,"ID_5165",2,0,2,4,3.321928095,0,3.321928095
"ID_1001","ID_1001b",2004,3,2,"ID_5898",0,0,0,0,0,0,0
"ID_1026","ID_1026a",2005,8,8,"ID_2677",1,2,3,122,0.479303707,0.958607413,1.43791112
"ID_1026","ID_1026b",2005,8,8,"ID_3173",3,7,10,41,1.860137667,4.340321222,6.200458889
"ID_1026","ID_1026c",2005,8,8,"ID_5287",0,11,11,138,0,5.140477362,5.140477362
"ID_1026","ID_1026d",2005,8,8,"ID_8378",3,2,5,70,1.625929861,1.083953241,2.709883102
"ID_1026","ID_1026e",2005,8,8,"ID_8574",0,11,11,99,0,5.512029468,5.512029468
"ID_1048","ID_1048a",2002,8,3,"ID_5660",1,4,5,35,0.647639852,2.590559409,3.238199261
"ID_1048","ID_1048b",2002,8,3,"ID_6472",0,0,0,0,0,0,0
"ID_1093","ID_1093a",2015,4,4,"ID_4742",0,0,0,4,0,0,0
"ID_1102","ID_1102a",2005,10,6,"ID_3948",19,0,19,197,8.280793059,0,8.280793059
"ID_1102","ID_1102b",2005,10,6,"ID_6752",0,2,2,45,0,1.209765825,1.209765825
"ID_1102","ID_1102c",2005,10,6,"ID_7049",0,0,0,0,0,0,0
"ID_1102","ID_1102d",2005,10,6,"ID_8467",0,1,1,2,0,3.321928095,3.321928095
"ID_1102","ID_1102e",2005,10,6,"ID_8874",1,2,3,2,3.321928095,6.64385619,9.965784285
"ID_1109","ID_1109a",2012,3,3,"ID_6663",2,1,3,39,1.25701998,0.62850999,1.88552997
"ID_1155","ID_1155a",2004,9,5,"ID_3757",0,1,1,0,0,0,0
"ID_1196","ID_1196a",1999,11,5,"ID_8414",0,6,6,11,0,5.761515407,5.761515407
"ID_1227","ID_1227a",2009,9,4,"ID_4569",0,0,0,20,0,0,0
"ID_1258","ID_1258a",2009,10,6,"ID_3643",0,3,3,5,0,4.292029674,4.292029674
"ID_1258","ID_1258b",2009,10,6,"ID_5674",0,2,2,2,0,6.64385619,6.64385619
"ID_1258","ID_1258c",2009,10,6,"ID_8506",0,70,70,41,0,43.40321222,43.40321222
"ID_1272","ID_1272a",1997,6,2,"ID_1296",55,22,77,267,22.66628673,9.066514691,31.73280142
"ID_1330","ID_1330a",2000,5,2,"ID_3997",6,1,7,148,2.764643525,0.460773921,3.225417446
"ID_1334","ID_1334a",2006,6,2,"ID_5194",0,0,0,3,0,0,0
"ID_1334","ID_1334b",2006,6,2,"ID_6289",0,5,5,52,0,2.913747236,2.913747236
"ID_1355","ID_1355a",2013,4,3,"ID_6018",0,3,3,52,0,1.748248342,1.748248342
"ID_1462","ID_1462a",2012,6,2,"ID_1756",0,0,0,0,0,0,0
"ID_1480","ID_1480a",2005,10,7,"ID_7032",0,10,10,65,0,5.515983411,5.515983411
"ID_1480","ID_1480b",2005,10,7,"ID_8925",12,1,13,24,8.694321302,0.724526775,9.418848077
"ID_1489","ID_1489a",1989,10,5,"ID_9598",1,7,8,217,0.42799796,2.995985721,3.423983681
"ID_1516","ID_1516a",2001,15,8,"ID_3528",1,9,10,64,0.553654682,4.982892142,5.536546825
"ID_1516","ID_1516b",2001,15,8,"ID_4581",0,3,3,9,0,3.143854911,3.143854911
"ID_1516","ID_1516c",2001,15,8,"ID_9931",0,9,9,109,0,4.417337268,4.417337268
"ID_1541","ID_1541a",2014,3,2,"ID_9254",0,2,2,0,0,0,0
"ID_1588","ID_1588a",1992,14,8,"ID_8870",12,5,17,226,5.097471213,2.123946339,7.221417551
"ID_1600","ID_1600a",2001,11,7,"ID_5655",28,2,30,162,12.67246424,0.905176017,13.57764025
"ID_1600","ID_1600b",2001,11,7,"ID_6162",0,1,1,8,0,1.107309365,1.107309365
"ID_1604","ID_1604a",2009,6,4,"ID_1824",6,9,15,80,3.152767363,4.729151045,7.881918408
"ID_1604","ID_1604b",2009,6,4,"ID_6022",3,4,7,118,1.447958904,1.930611872,3.378570775
"ID_1604","ID_1604c",2009,6,4,"ID_8247",0,3,7,1,0,NA,NA
"ID_1604","ID_1604d",2009,6,4,"ID_9551",0,0,0,1,0,0,0
"ID_1618","ID_1618a",2004,10,4,"ID_3555",3,2,5,41,1.860137667,1.240091778,3.100229444
"ID_1618","ID_1618b",2004,10,4,"ID_4334",1,12,13,49,0.591647331,7.099767975,7.691415306
"ID_1625","ID_1625a",2005,13,10,"ID_8956",1,0,1,82,0.522517,0,0.522517
"ID_1625","ID_1625b",2005,13,10,"ID_8959",5,2,7,145,2.31335,0.92534,3.23869
"ID_1721","ID_1721a",1999,7,4,"ID_3405",0,16,16,246,0,6.691942392,6.691942392
"ID_1726","ID_1726a",2004,12,6,"ID_3965",1,0,1,3,2.095903274,0,2.095903274
"ID_1825","ID_1825a",2011,3,1,"ID_7000",2,14,16,83,1.042167074,7.295169517,8.337336591
"ID_1867","ID_1867a",2006,5,1,"ID_4177",0,1,5,1,0,NA,NA
